"","Variable","Coefficient"
"(Intercept)","(Intercept)",-2.77216670125051
"Age","Age",0.186081256447759
"Married","Married",0.824178623558135
"`Number of Dependents`","`Number of Dependents`",-0.55222227351124
"`Number of Referrals`","`Number of Referrals`",-1.06799811733671
"`Tenure in Months`","`Tenure in Months`",-0.480314938257145
"Offer","Offer",0.109900547271279
"`Phone Service`","`Phone Service`",-0.375601348213093
"`Multiple Lines`","`Multiple Lines`",0.111967028438713
"`Internet Service`","`Internet Service`",0.0417002700084081
"`Internet Type`","`Internet Type`",0.100039035014958
"`Avg Monthly GB Download`","`Avg Monthly GB Download`",0.0766219011723694
"`Online Security`","`Online Security`",-2.10719156629338
"`Online Backup`","`Online Backup`",-0.240520245235099
"`Device Protection Plan`","`Device Protection Plan`",0.138449233879708
"`Premium Tech Support`","`Premium Tech Support`",-0.524001303414331
"`Streaming TV`","`Streaming TV`",0.125679263353475
"Contract","Contract",-0.56670166685322
"`Paperless Billing`","`Paperless Billing`",0.186531782213599
"`Payment Method`","`Payment Method`",-0.0935650460248495
"`Monthly Charge`","`Monthly Charge`",0.476602476679424
"`Satisfaction Score`","`Satisfaction Score`",-4.52443489328456
