CustomerID,random_date
0002-ORFBO,2020-05-23
0003-MKNFE,2021-03-01
0004-TLHLJ,2020-04-03
0011-IGKFF,2020-02-26
0013-EXCHZ,2020-11-27
0013-MHZWF,2021-10-01
0013-SMEOE,2021-01-23
0014-BMAQU,2020-08-02
0015-UOCOJ,2020-01-20
0016-QLJIS,2021-07-09
0017-DINOC,2020-04-05
0017-IUDMW,2021-11-22
0018-NYROU,2020-03-27
0019-EFAEP,2021-09-18
0019-GFNTW,2021-06-30
0020-INWCK,2020-01-20
0020-JDNXP,2021-12-07
0021-IKXGC,2020-10-24
0022-TCJCI,2020-10-27
0023-HGHWL,2020-03-09
0023-UYUPN,2020-04-27
0023-XUOPT,2021-04-15
0027-KWYKW,2021-11-09
0030-FNXPP,2020-07-02
0031-PVLZI,2021-08-06
0032-PGELS,2020-06-23
0036-IHMOT,2020-10-10
0040-HALCW,2021-09-04
0042-JVWOJ,2020-10-16
0042-RLHYP,2020-06-10
0048-LUMLS,2021-04-21
0048-PIHNL,2020-02-04
0052-DCKON,2021-12-17
0052-YNYOT,2020-10-14
0056-EPFBG,2020-05-29
0057-QBUQH,2021-03-02
0058-EVZWM,2020-05-03
0060-FUALY,2021-03-22
0064-SUDOG,2021-05-31
0064-YIJGF,2020-01-03
0067-DKWBL,2020-09-26
0068-FIGTF,2021-10-23
0071-NDAFP,2020-05-27
0074-HDKDG,2021-03-16
0076-LVEPS,2021-01-13
0078-XZMHT,2020-03-11
0080-EMYVY,2021-06-18
0080-OROZO,2020-05-17
0082-LDZUE,2020-06-28
0082-OQIQY,2021-07-10
0083-PIVIK,2020-02-04
0089-IIQKO,2020-03-23
0093-EXYQL,2021-08-15
0093-XWZFY,2021-12-02
0094-OIFMO,2021-09-05
0096-BXERS,2020-11-22
0096-FCPUF,2021-07-08
0098-BOWSO,2020-08-24
0100-DUVFC,2021-08-18
0103-CSITQ,2021-09-29
0104-PPXDV,2021-09-22
0106-GHRQR,2021-06-25
0106-UGRDO,2020-09-18
0107-WESLM,2020-01-09
0107-YHINA,2020-10-16
0111-KLBQG,2020-06-24
0112-QAWRZ,2021-03-26
0112-QWPNC,2020-06-21
0114-IGABW,2021-10-08
0114-PEGZZ,2020-08-22
0114-RSRRW,2021-01-26
0115-TFERT,2021-03-08
0117-LFRMW,2020-12-14
0118-JPNOY,2021-06-04
0121-SNYRK,2020-01-14
0122-OAHPZ,2021-12-16
0123-CRBRT,2020-12-13
0125-LZQXK,2021-02-19
0128-MKWSG,2020-01-02
0129-KPTWJ,2021-05-06
0129-QMPDR,2021-10-28
0130-SXOUN,2020-04-19
0133-BMFZO,2020-04-14
0134-XWXCE,2020-03-02
0135-NMXAP,2021-01-24
0136-IFMYD,2021-05-24
0137-OCGAB,2020-08-18
0137-UDEUO,2020-08-12
0139-IVFJG,2021-07-05
0141-YEAYS,2021-01-20
0142-GVYSN,2020-12-22
0147-ESWWR,2021-05-10
0148-DCDOS,2020-03-04
0151-ONTOV,2021-11-13
0156-FVPTA,2020-08-04
0164-APGRB,2021-06-19
0164-XAIRP,2021-02-03
0168-XZKBB,2020-03-07
0174-QRVVY,2020-12-22
0177-PXBAT,2020-09-27
0178-CIIKR,2021-08-28
0178-SZBHO,2021-05-27
0181-RITDD,2021-12-23
0186-CAERR,2021-01-19
0187-QSXOE,2021-08-19
0187-WZNAB,2021-04-21
0188-GWFLE,2020-10-05
0191-EQUUH,2021-03-10
0191-ZHSKZ,2020-12-27
0193-ESZXP,2021-07-22
0195-IESCP,2020-10-14
0196-JTUQI,2020-04-23
0196-VULGZ,2021-10-31
0197-PNKNK,2020-10-18
0201-MIBOL,2020-02-24
0201-OAMXR,2021-10-01
0203-HHYIJ,2021-03-07
0206-OYVOC,2021-04-24
0206-TBWLC,2020-07-26
0207-MDKNV,2021-05-07
0208-BPQEJ,2020-03-21
0212-ISBBF,2020-03-22
0214-JHPFW,2020-04-24
0215-BQKGS,2021-11-02
0218-QNVAS,2021-12-29
0219-QAERP,2020-10-25
0219-YTZUE,2020-04-18
0220-EBGCE,2021-11-15
0221-NAUXK,2021-05-11
0221-WMXNQ,2021-02-28
0222-CNVPT,2020-06-22
0224-HJAPT,2021-05-17
0224-NIJLP,2021-11-16
0224-RLWWD,2021-12-25
0225-ZORZP,2021-07-08
0228-MAUWC,2020-07-27
0229-LFJAF,2020-05-09
0230-UBYPQ,2020-12-09
0230-WEQUW,2021-06-26
0231-LXVAP,2020-04-30
0233-FTHAV,2020-06-08
0234-TEVTT,2020-03-31
0235-KGSLC,2020-03-16
0236-HFWSV,2021-05-20
0237-YFUTL,2020-12-31
0238-WHBIQ,2020-11-18
0239-OXEXL,2020-03-31
0244-LGNFY,2020-12-03
0247-SLUJI,2020-05-14
0248-IPDFW,2020-10-28
0248-PGHBZ,2020-12-03
0253-ZTEOB,2020-12-25
0254-FNMCI,2020-06-13
0254-KCJGT,2021-10-12
0254-WWRKD,2021-06-21
0256-LTHVJ,2020-08-12
